"logP","SMILES (RDKit Mol)","SMR","LabuteASA","TPSA","AMW","ExactMW","NumLipinskiHBA","NumLipinskiHBD","NumRotatableBonds","NumHBD","NumHBA","NumAmideBonds","NumHeteroAtoms","NumHeavyAtoms","NumAtoms","NumStereocenters","NumUnspecifiedStereocenters","NumRings","NumAromaticRings","NumSaturatedRings","NumAliphaticRings","NumAromaticHeterocycles","NumSaturatedHeterocycles","NumAliphaticHeterocycles","NumAromaticCarbocycles","NumSaturatedCarbocycles","NumAliphaticCarbocycles","FractionCSP3","Chi0v","Chi1v","Chi2v","Chi3v","Chi4v","Chi1n","Chi2n","Chi3n","Chi4n","HallKierAlpha","kappa1","kappa2","kappa3","smr_VSA1","smr_VSA2","smr_VSA3","smr_VSA4","smr_VSA5","smr_VSA6","smr_VSA7","smr_VSA8","smr_VSA9","smr_VSA10","peoe_VSA1","peoe_VSA2","peoe_VSA3","peoe_VSA4","peoe_VSA5","peoe_VSA6","peoe_VSA7","peoe_VSA8","peoe_VSA9","peoe_VSA10","peoe_VSA11","peoe_VSA12","peoe_VSA13","peoe_VSA14","MQN1","MQN2","MQN3","MQN4","MQN5","MQN6","MQN7","MQN8","MQN9","MQN10","MQN11","MQN12","MQN13","MQN14","MQN15","MQN16","MQN17","MQN18","MQN19","MQN20","MQN21","MQN22","MQN23","MQN24","MQN25","MQN26","MQN27","MQN28","MQN29","MQN30","MQN31","MQN32","MQN33","MQN34","MQN35","MQN36","MQN37","MQN38","MQN39","MQN40","MQN41","MQN42"
4.45,"CC(=O)OC1CCC2CCCCC2C1",0.1427139692973013,0.14686067994919783,0.06450188845833131,0.14487608800405025,0.14487234239112978,0.08333333333333333,0,0.047619047619047616,0,0.08333333333333333,0,0.058823529411764705,0.14457831325301207,0.15873015873015872,0.2727272727272727,0.375,0.2857142857142857,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0.3333333333333333,0.3333333333333333,0.9166666666666666,0.1419235368578232,0.18635330532628994,0.15012295797051559,0.22118100706322227,0.19792402061052528,0.18635330532628994,0.15012295797051559,0.24247548272676872,0.305393860645206,0.578781512605042,0.11944470226983477,0.003782490460142274,0.0030752600049906683,0.04763136701646979,0,0,0.25542666819800164,0.22224297246738892,0,0,0,0,0.04287946597742011,0.06837925043435096,0.1580115455030394,0,0,0,0.11962371312382102,0.22906023008712895,0.09105562424841412,0,0.08519890578234943,0,0,0,0.05048928783047304,0.1643835616438356,0,0,0,0,0,0,0,0,0.10526315789473684,0,0.14457831325301207,0.05,0.06666666666666667,0,0.4782608695652174,0,0,0.047619047619047616,0.0851063829787234,0.08333333333333333,0,0,0,0,0.0625,0.045454545454545456,0.16666666666666666,0,0.3181818181818182,0.15789473684210525,0,0,0,0,0.2857142857142857,0,0,0,0,0.2,0.07142857142857142
5,"CCC(=O)OC1CC2CCC1(C)C2(C)C",0.15630905055085925,0.15964524939284755,0.06450188845833131,0.15709867910274156,0.15709415418770828,0.08333333333333333,0,0.09523809523809523,0,0.08333333333333333,0,0.058823529411764705,0.1566265060240964,0.1746031746031746,0.2727272727272727,0.375,0.2857142857142857,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0.3333333333333333,0.3333333333333333,0.9230769230769231,0.16535252075080184,0.19241796579422893,0.18397339642995736,0.30516788359324815,0.2215373482511272,0.19241796579422893,0.18397339642995736,0.3345482999172181,0.341828878833494,0.578781512605042,0.13329936003740292,0.002707166721324495,0.0029756018926731824,0.04763136701646979,0,0,0.36143332950499607,0.2280267981569596,0,0,0,0,0.04287946597742011,0.06837925043435096,0.1580115455030394,0,0,0,0.12899332844930886,0.22535591045963968,0.15565542531012533,0,0.08519890578234943,0,0,0,0.05048928783047304,0.1780821917808219,0,0,0,0,0,0,0,0,0.10526315789473684,0,0.1566265060240964,0.11666666666666667,0.06666666666666667,0,0.34782608695652173,0,0,0.09523809523809523,0.0851063829787234,0.08333333333333333,0,0,0,0,0.15625,0.09090909090909091,0.16666666666666666,0,0.13636363636363635,0.10526315789473684,0.2,0,0,0.5,0,0,0,0,0,0.30000000000000004,0.14285714285714285
2.29,"COC(=O)C1CCC(CC1)C(=O)OC",0.12664922956223046,0.14194166768327898,0.12900377691666262,0.14831273869865627,0.14832422636206374,0.16666666666666666,0,0.09523809523809523,0,0.16666666666666666,0,0.11764705882352941,0.14457831325301207,0.13756613756613756,0,0,0.14285714285714285,0,0.16666666666666666,0.16666666666666666,0,0,0,0,0.16666666666666666,0.16666666666666666,0.8,0.135042919756892,0.15054299220641598,0.11129300736816788,0.1617252478543428,0.11843797130231187,0.15054299220641598,0.11129300736816788,0.17729554658994326,0.1827480524669357,0.5231092436974789,0.1339710410073552,0.004420543407124836,0.0030944008868112466,0.09526273403293958,0,0,0.25542666819800164,0.0984576464827811,0.21199655776425574,0,0,0,0.08575893195484022,0.13675850086870192,0.3160230910060788,0,0,0,0,0.18917509547368608,0,0.3892546163140054,0,0,0,0,0.10097857566094608,0.136986301369863,0,0,0,0,0,0,0,0,0.21052631578947367,0,0.14457831325301207,0.1,0.13333333333333333,0,0.2608695652173913,0,0,0.09523809523809523,0.1702127659574468,0.16666666666666666,0,0,0,0,0.125,0.09090909090909091,0.3333333333333333,0,0.18181818181818182,0.10526315789473684,0,0,0,0,0.14285714285714285,0,0,0,0,0,0
0.73,"CC(=O)OC=C",0.04437611523318827,0.047239601591225235,0.06450188845833131,0.048852024478294,0.04885551859514139,0.08333333333333333,0,0.047619047619047616,0,0.08333333333333333,0,0.058823529411764705,0.04819277108433736,0.042328042328042326,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.0447504292065236,0.041762629621521295,0.024027159211096438,0.014418635776729874,0.007322480509620062,0.041762629621521295,0.024027159211096438,0.01580680781159791,0.011298480019929561,0.551470588235294,0.05073748702437232,0.0019426692236501793,0.0031725222863135845,0.04763136701646979,0,0,0,0.026542353517218856,0,0.08281187088047906,0,0,0.04287946597742011,0.06837925043435096,0.1580115455030394,0,0,0,0.030642367951199075,0,0.09105562424841412,0.09355231741024968,0,0,0,0,0.05048928783047304,0.0547945205479452,0,0,0,0,0,0,0,0,0.10526315789473684,0,0.04819277108433736,0.05,0.13333333333333333,0,0,0,0,0.047619047619047616,0.0851063829787234,0.08333333333333333,0,0,0,0,0.09375,0.09090909090909091,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.97,"CC(=O)OCC=C",0.05892796490573424,0.060024171034875,0.06450188845833131,0.061074615576985326,0.061077330391719885,0.08333333333333333,0,0.09523809523809523,0,0.08333333333333333,0,0.058823529411764705,0.06024096385542169,0.0582010582010582,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.05748109797443303,0.05700714665817252,0.03378420458276641,0.023392110233146853,0.010999229601751512,0.05700714665817252,0.03378420458276641,0.025644214646146284,0.016971649938397095,0.551470588235294,0.06507011047758485,0.0028765752031324676,0.003382275825904565,0.04763136701646979,0,0,0,0.026542353517218856,0.09850043027946806,0.0816119654504833,0,0,0.04287946597742011,0.06837925043435096,0.1580115455030394,0,0,0,0.058942332071026185,0,0.09105562424841412,0,0.09221858022342226,0,0,0,0.05048928783047304,0.0684931506849315,0,0,0,0,0,0,0,0,0.10526315789473684,0,0.06024096385542169,0.06666666666666667,0.13333333333333333,0,0,0,0,0.09523809523809523,0.0851063829787234,0.08333333333333333,0,0,0,0,0.09375,0.13636363636363635,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"CC(=O)OCC=C(C)C",0.08653671359615742,0.08559330992217451,0.06450188845833131,0.08551979777436794,0.08552095398487686,0.08333333333333333,0,0.09523809523809523,0,0.08333333333333333,0,0.058823529411764705,0.08433734939759036,0.08994708994708994,0,0,0,0,0,0,0,0,0,0,0,0,0.5714285714285714,0.08976014028066638,0.08610746349788537,0.06452014604336373,0.04500762975112227,0.02032175158845821,0.08610746349788537,0.06452014604336373,0.049340795103494636,0.031356164620789176,0.551470588235294,0.09373535738400991,0.003584179786309994,0.003592029365495546,0.04763136701646979,0,0,0,0.07962706055165657,0.09850043027946806,0.075125347977437,0,0,0.04287946597742011,0.06837925043435096,0.1580115455030394,0,0,0,0.025957560288455153,0.14675026019743,0.09105562424841412,0,0.09221858022342226,0,0,0,0.05048928783047304,0.0958904109589041,0,0,0,0,0,0,0,0,0.10526315789473684,0,0.08433734939759036,0.1,0.13333333333333333,0,0,0,0,0.09523809523809523,0.0851063829787234,0.08333333333333333,0,0,0,0,0.125,0.13636363636363635,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.7,"CC\C=C/CCOC(C)=O",0.10034108794136906,0.09837787936582423,0.06450188845833131,0.09774238887305928,0.09774276578145535,0.08333333333333333,0,0.19047619047619047,0,0.08333333333333333,0,0.058823529411764705,0.0963855421686747,0.10582010582010581,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0.09861019869392104,0.10792255854498313,0.0621769006227384,0.057386744414098724,0.034643378745656504,0.10792255854498313,0.0621769006227384,0.06291172437762192,0.05345422525419077,0.551470588235294,0.10806798083722242,0.005743499050130716,0.003592029365495546,0.04763136701646979,0,0,0,0.10231353027582826,0.09850043027946806,0.07836865671396014,0,0,0.04287946597742011,0.06837925043435096,0.1580115455030394,0,0,0,0.08884826035198141,0.09458754773684304,0.09105562424841412,0.09870347781814906,0,0,0,0,0.05048928783047304,0.1095890410958904,0,0,0,0,0,0,0,0,0.10526315789473684,0,0.0963855421686747,0.11666666666666667,0.13333333333333333,0,0,0,0,0.19047619047619047,0.0851063829787234,0.08333333333333333,0,0,0,0,0.09375,0.2727272727272727,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.92,"CC(C)=CCCC(C)(OC(C)=O)C=C",0.15521175677033233,0.148131026263338,0.06450188845833131,0.14487608800405027,0.14487234239112978,0.08333333333333333,0,0.23809523809523808,0,0.08333333333333333,0,0.058823529411764705,0.14457831325301207,0.15873015873015872,0.09090909090909091,0.125,0,0,0,0,0,0,0,0,0,0,0.5833333333333334,0.15262185198289238,0.1510862460165579,0.12168639572197104,0.11579023261646709,0.07303774346221577,0.1510862460165579,0.12168639572197104,0.12693808081223443,0.11269616684188392,0.5241596638655461,0.16167199255223721,0.0050588835838056186,0.0034201076944210193,0.04763136701646979,0,0,0,0.17687003301904552,0,0.1567373134279203,0,0,0.04287946597742011,0.06837925043435096,0.1580115455030394,0,0,0,0.08489989235948134,0.29233590143018384,0.09105562424841412,0,0.07817923134127662,0,0,0,0.05048928783047304,0.1643835616438356,0,0,0,0,0,0,0,0,0.10526315789473684,0,0.14457831325301207,0.16666666666666666,0.2,0,0,0,0,0.23809523809523808,0.0851063829787234,0.08333333333333333,0,0,0,0,0.1875,0.2272727272727273,0.3333333333333333,0.1111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0
4.04,"CC(=O)OC/C=C(C)/CCC=C(C)C",0.15527753459913773,0.14813102626333802,0.06450188845833131,0.14487608800405027,0.14487234239112978,0.08333333333333333,0,0.23809523809523808,0,0.08333333333333333,0,0.058823529411764705,0.14457831325301207,0.15873015873015872,0,0,0,0,0,0,0,0,0,0,0,0,0.5833333333333334,0.15262185198289238,0.153880868415878,0.11371849087224238,0.10466520578268361,0.06188837407271576,0.153880868415878,0.11371849087224238,0.11474197822780753,0.09549285341324684,0.5241596638655461,0.16167199255223721,0.0067524265459411766,0.003784092732135634,0.04763136701646979,0,0,0,0.15539823731026595,0.09850043027946806,0.150250695954874,0,0,0.04287946597742011,0.06837925043435096,0.1580115455030394,0,0,0,0.08021508469673742,0.29233590143018384,0.09105562424841412,0,0.09221858022342226,0,0,0,0.05048928783047304,0.1643835616438356,0,0,0,0,0,0,0,0,0.10526315789473684,0,0.14457831325301207,0.16666666666666666,0.2,0,0,0,0,0.23809523809523808,0.0851063829787234,0.08333333333333333,0,0,0,0,0.15625,0.2727272727272727,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.36,"CCC(=O)OC=C",0.058180489578399844,0.060024171034874986,0.06450188845833131,0.06107461557698531,0.061077330391719885,0.08333333333333333,0,0.09523809523809523,0,0.08333333333333333,0,0.058823529411764705,0.06024096385542169,0.0582010582010582,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.05748109797443303,0.06029385540928701,0.031270922319663136,0.02911838061541578,0.010999229601751512,0.06029385540928701,0.031270922319663136,0.03192178880859584,0.016971649938397095,0.551470588235294,0.06507011047758485,0.0028765752031324676,0.0031535281240687584,0.04763136701646979,0,0,0,0.05115676513791413,0,0.08281187088047906,0,0,0.04287946597742011,0.06837925043435096,0.1580115455030394,0,0,0,0.06289070006352629,0,0.0844416684517384,0.09355231741024968,0,0,0,0,0.05048928783047304,0.0684931506849315,0,0,0,0,0,0,0,0,0.10526315789473684,0,0.06024096385542169,0.06666666666666667,0.13333333333333333,0,0,0,0,0.09523809523809523,0.0851063829787234,0.08333333333333333,0,0,0,0,0.09375,0.13636363636363635,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.2,"CCCC(=O)OCCC(C)CCC=C(C)C",0.18295804092098505,0.17508529602772277,0.06450188845833131,0.17107793546520714,0.17107363656092633,0.08333333333333333,0,0.38095238095238093,0,0.08333333333333333,0,0.058823529411764705,0.16867469879518074,0.20105820105820105,0.09090909090909091,0.125,0,0,0,0,0,0,0,0,0,0,0.7857142857142857,0.18181191607179217,0.20028759048100672,0.14622311900010718,0.14689928090199952,0.09054370262292809,0.20028759048100672,0.14622311900010718,0.16104219128881206,0.1397076050488084,0.551470588235294,0.19406372155649754,0.00878198377991109,0.0038587492806264907,0.04763136701646979,0,0,0.12771333409900082,0.22924147217235183,0.09850043027946806,0.075125347977437,0,0,0.04287946597742011,0.06837925043435096,0.1580115455030394,0,0,0,0.11875418863293667,0.33476073670643985,0.0844416684517384,0.09870347781814906,0,0,0,0,0.05048928783047304,0.1917808219178082,0,0,0,0,0,0,0,0,0.10526315789473684,0,0.16867469879518074,0.21666666666666667,0.13333333333333333,0,0,0,0,0.38095238095238093,0.0851063829787234,0.08333333333333333,0,0,0,0,0.15625,0.36363636363636365,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.97,"CCCCCCC(=O)OCC=C",0.12794983663179227,0.12394701825312374,0.06450188845833131,0.1221875710704419,0.12218638937461238,0.08333333333333333,0,0.3333333333333333,0,0.08333333333333333,0,0.058823529411764705,0.1204819277108434,0.13756613756613756,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.12113444181398028,0.14164339192302414,0.08613834361364918,0.09234437179000657,0.05741444426259571,0.14164339192302414,0.08613834361364918,0.10123494066776605,0.08858964533999908,0.551470588235294,0.13673322774364746,0.00767718749750935,0.0036034166369174232,0.04763136701646979,0,0,0,0.14961441162069525,0.09850043027946806,0.0816119654504833,0,0,0.04287946597742011,0.06837925043435096,0.1580115455030394,0,0,0,0.18090844902621914,0.04729377386842152,0.0844416684517384,0,0.09221858022342226,0,0,0,0.05048928783047304,0.136986301369863,0,0,0,0,0,0,0,0,0.10526315789473684,0,0.1204819277108434,0.15,0.13333333333333333,0,0,0,0,0.3333333333333333,0.0851063829787234,0.08333333333333333,0,0,0,0,0.09375,0.36363636363636365,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
